Product Name;Variations;Rating;Username;Date;Review
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;1;0*****3;19/12/2023;Pas di pake malahan panas+berat di bibir
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;2;0c1f0hvpr2;18/12/2023;Kasi bintang 2 dulu karna blm di coba. Nanti klu saya sudah pakai trus betul2 bermanfaat baru beli lagi 🙏
Kikir Kuku Kaca + Box / Pengkilat Kuku Instant Tanpa Ke Salon Glass Nail Polish File;Variasi: KIKIR KACA + BOX;2;0tff36y8l3;19/12/2023;Lumayan
(BISACOD) AMPUH! Krim Herbal China Menghaluskan Melembutkan Kaki dan Tangan Kapalan Pecah Kasar Kering 55gr & 33gr;Variasi: 55gr;2;11f3ft6dos;24/12/2023;Lama di pengemasan, hampir satu Minggu,beda sama toko sebelah cream buat kaki nya lebih lembut,yg ini mah B aja
Ready Jkt - Her Dragon Ranee Lip Gloss Moisturizing Lip Glow Mate Lipstick CINDYNAL;Variasi: 05;2;3ux85iohz1;29/12/2023;lembut dan harum
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;1;91sxu4zldr;24/12/2023;kualitasnya tidak seperti biasanya
LAMEILA SVMY 3088 Sunscreen Cream Pelindung Sinar Matahari/Sunblock;None;2;9uen0zpsl_;19/12/2023;bagus, tp ga ccok sma muka sya shabis pke ss lngsung pd gatel🥺
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;2;a*****a;31/12/2023;kirain vaseline, lupa baca nama. trnyta cindynal wkk
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;a9qd2fkrqr;31/12/2023;Ok barang sampe
CINDYNAL Black Mask BPOM Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;2;adingsurajat87;14/12/2023;Belum dicoba
Lameila 1002 Colour Geometry Face Stick Contour Duo Cocealer 109 Stick;Variasi: 02 IVORY;2;adisupriatnaadi;30/12/2023;Gak amanah banget yg di pesen apa yg datang apa 😒😒
CINDYNAL x LANEIGE Lip Sleeping Mask Berry Pelembab Bibir 3g;Variasi: BERRY;1;afiyahputrii_;23/12/2023;cilik bgt , krg memuaskan
50G Krim pemutih Dragon's Blood Cream Alami Menghilangkan Keriput Pemutih / Pencerah / Pelembap & Pengencang- Dragon Blood Cream;Variasi: CREAM DRAGON BLOOD;1;ai_sartika97;28/12/2023;Terima kasih atas pesanan nyh udah saya terima
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 03 SWEET;2;ainialinluthfiaini;27/12/2023;ga sesuai ekspetasi.! mungkin karena harganya juga
Stiker Label Open Me Thank You For Your Order 100 pcs;Variasi: BUNGA;1;akhmad0610;25/12/2023;barang tidak sesuai
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;2;anassazk;16/12/2023;Bagus ,, cuman agak tidak nyaman di bibir
TWG Cleaning Mud Mask Mugwort Acne Clay Mask Salicylic Acid Anti Acne;Variasi: TWG MUDMASK;1;anggelaaaaaaaaaa;25/12/2023;di beli yang abu dikirim yang hijau makasi udah mutusin rezeki orang karna gaa sesuai sama yang dipesan customer kalo emmang kosong chat atau batalin gampang kan
BISA COD & 100% ORIGINAL - Pensil Alis Benang Hengsi Eyebrow Pencil Make Up Kosmetik Mata Hensi Korea Pencil Alis Tahan Air Dan Tahan Lama;Variasi: 09 DARK BROWN;2;anitasalsabillahasan;18/12/2023;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;anwarrahmadi.773;23/12/2023;Tau barang lunak bgini gak di Paking.. Paking kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;aputabuku;21/12/2023;Bagus BANGAT
PAKET 2 PCS Youbuy Cream Anti Freckle & Youbuy Serum Whitening Mencerahkan Wajah;Variasi: 2 IN 1;1;asjasosojazaen;19/12/2023;Kata nya krim sma serum, tpi yg dtng cuma krim ny z. Gk amanah
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 06 GLITZY;1;auliabungajoraanjani;26/12/2023;warna nya tidak sesuai dengan yang saya pesan👎🏻
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;1;bluezterpunk;21/12/2023;Pesanan udah sampek sesuai pesanan tapi barang penyet semua, udah mintak packing di lasipi kardus biar aman malah di abaikan sama selleenya, gag recomended beli disini, gag bisa buat berlangganan payah.......
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;2;boskecil;19/12/2023;Trlalu lama menunggu.
Cindynal Moisturize Essence Eye Cream-Krim Mata Anti Kerut Cream Mata Panda Ampuh Menghilangkan Lingkaran hitam;Variasi: COKLAT;2;deicenicolaasdei;16/12/2023;Mf,barang yg sy pesan ko salah..tidak sesui dgn apa yg sy pesan..di gambrr beda banget
READY STOCK - LAMEILA NUDE EDITION Lip Glaze Lipstik Cair Lip Gloss Cair Pelembab Bibir 1041;Variasi: 02# SUNSET;2;delisairawan86;25/12/2023;Pengiriman lama belum dicoba
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 06 GLITZY;2;dk797rh2u9;24/12/2023;Tapi kok kenapa warna nya ga sesuai kaya di foto
PROMO 1 BOX ISI 4 PCS - LIPSTIK HEY GIRL HENGFANG 4 IN 1 KOREA MATTE - HENG FANG LIPSTICK IMPORT;Variasi: 1 BOX ISI 4 PCS;1;erniamalia738;31/12/2023;tidak suka dengan bau atau rasanya
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;1;es5n90yson;24/12/2023;Isinya kaya sisa sisa yang nempel pinggir botol
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;1;f*****v;29/12/2023;ini gimana ya ko pas saya buka isinya kosong!! tapi sayang nya saat di buka tidak saya video pokoknya mengecewakan
(Bisa Cod) Sam Yun Wan Obat Penambah Nafsu Makan / Penaik Berat Badan / 100% Original Samyunwan / Suplemen Penambah Nafsu Makan / Kapsul Penambah Nafsu Makan;None;1;febriadipandawa;30/12/2023;Pesannya 3 datangnya 2 haddeh
YZKMSKIN Original Lumpur Vulkanik/Volcanic 250ML Mud Body Wash Vulcanic Sabun Pemutih Kulit Seluruh Tubuh Badan Moisturizer;Variasi: BELI 1 GRATIS 1;2;fwsjivrpdx;17/12/2023;Respon kurng ..pngiriman LM... Kualitas blom tau y.. saol nya BD dri yg biasanya AQ bli d tko sblh... Pecking jg ngk bagus.... Ada plastik kresek nya...
[BPOM APPROVED] CINDYNAL Cream Hexapeptide Anti Wrinkle Pelembab Kulit Kering - Krim Wajah Anti Kerut Memudarkan Keriput Dan Mengencangkan Kulit;None;1;h*****y;26/12/2023;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk
BPOM CINDYNAL Whitening Freckle Cream Remove Dark Spots Anti Penuaan Dini Penghilang Flek/Jerawat/Bintik Noda Hitam Komedo;Variasi: HEXAPEPTIDE(KERUTAN);1;h*****y;26/12/2023;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk
Lameila 5214 Pressed Powder Bedak Padat Waterproof Anti Air Glowing;Variasi: 03 NATURAL 5214;2;h_j1fxnp6u;17/12/2023;Bedak ancur pas smpe
Cream Pemutih Ketiak Baby Whitening Cream 100% Original;None;1;hasanbisri846;25/12/2023;Pesen apa yang dikirim apa kocak ni toko ! Produk aja number one tapi kejujuran zonkk..
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;hie8jv1l90;25/12/2023;Tidak sesuai iklan
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;2;ihsan19091998;18/12/2023;Udah pake seminggu lebih blm ada perubahan Kasih bintang 2 dulu
BPOM CINDYNAL Aloevera Gel 92% Pelembab Wajah Glowing / Peremajaan Kulit IMAGES Aloe Vera Soothing Gel;Variasi: IMAGES 220ML;2;iisfitriayu563;30/12/2023;Bagus banget
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;1;istikadwikurnia009;26/12/2023;ga ada isi nya bjr cuma kardus hahahhaha gimana sih
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;2;isynamaulida;22/12/2023;beli no 5 tp knp warna nya kaya no 2 ya?
TWG Vitamin Rambut Rontok Korean Perfect Hair Repair Serum Care Essential Oil 70 ML;Variasi: DENGAN BOX;1;jneyinesa;27/12/2023;Padhal pesan 3 lengkap tapi yg datang hanya 2 sampo nya kmna padhal udh chat juga supaya teliti sblm ngirim Kecewa ini tentang kejujuran dan ketelitian klo jualan emg mau untung jgn posting dpt 3
BISA COD - Lameila Eyeshadow 4 Warna (New) Kombinasi Glitter Tahan Lama 5086;Variasi: 01 PEARL;1;kbx8r_rzok;21/12/2023;Beli nya apa dikirim nya apa
LAMEILA SVMY 3088 Sunscreen Cream Pelindung Sinar Matahari/Sunblock;None;2;khailacantikhaayu;25/12/2023;Kenapa di aku muka jadi beruntusan ya...... Apa karena mukaku sensitif
PROMO - Hengfang Foundation/Bb Cream Anti Air Tahan Lama Untuk Mencerahkan Wajah;Variasi: 1#IVORY;2;kurniaaadheeputriiaani;16/12/2023;Saking senang nya paket dtg ..ku buka gak divideo unboxing...Kecewa bangeettt 😠pesan 2 dtg 1 gak teliti bangeettt toko nya ...harus ikhlass😭😭😭
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;1;l*****1;29/12/2023;bau nya ga enak, kaya bau ee
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;l*****k;30/12/2023;Alhamdulillah paketnya udh sampai, sayang sekali kurang wangi aja
[BPOM APPROVED] Pelurus Rambut Tanpa Catok Cindynal Hair Mask Smooth And Moisten Hair Film No Steaming / Masker Rambut Creambath Hair Mask;Variasi: CINDYNAL HAIRMASK;2;liskilumbantobing_88;17/12/2023;Biasa aja
PAKET Alis 4 IN 1 Eyebrow Powder Stamp IBCCCNDC + Cetakan Alis Tali 12 Model + Concealer + Pisau Alis;Variasi: 01 LIGHT BROWN,PAKET ALIS 4 IN 1;1;lizliz14;27/12/2023;Ini ga salah light brown warnanya gelap begini,? spt warna hitam ?tdk sesuai expentasi
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;malonlinestore;25/12/2023;Ini ga ampuh sama sekali... Ga kayak di toko sebelah... Pelanggan saya jadi kecewa 🤦 Pengemasan bener bener lama lagi 🥹
