Username;Review;Untruthful Opinion;Review on Brand Only;Non-Review;Review Length Short;Burstiness;Maximum Content Similarity;Extreme Rating
0*****3;Pas di pake malahan panas+berat di bibir;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
0c1f0hvpr2;Kasi bintang 2 dulu karna blm di coba. Nanti klu saya sudah pakai trus betul2 bermanfaat baru beli lagi 🙏;Palsu;Asli;Asli;Asli;Asli;Asli;Asli
0tff36y8l3;Lumayan;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
11f3ft6dos;Lama di pengemasan, hampir satu Minggu,beda sama toko sebelah cream buat kaki nya lebih lembut,yg ini mah B aja;Asli;Palsu;Palsu;Asli;Asli;Asli;Asli
3ux85iohz1;lembut dan harum;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
91sxu4zldr;kualitasnya tidak seperti biasanya;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
9uen0zpsl_;bagus, tp ga ccok sma muka sya shabis pke ss lngsung pd gatel🥺;Palsu;Asli;Asli;Asli;Asli;Asli;Asli
a*****a;kirain vaseline, lupa baca nama. trnyta cindynal wkk;Asli;Asli;Asli;Palsu;Palsu;Asli;Asli
a9qd2fkrqr;Ok barang sampe;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
adingsurajat87;Belum dicoba;Palsu;Asli;Asli;Palsu;Asli;Palsu;Asli
adisupriatnaadi;Gak amanah banget yg di pesen apa yg datang apa 😒😒;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
afiyahputrii_;cilik bgt , krg memuaskan;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ai_sartika97;Terima kasih atas pesanan nyh udah saya terima;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ainialinluthfiaini;ga sesuai ekspetasi.! mungkin karena harganya juga;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
akhmad0610;barang tidak sesuai;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
anassazk;Bagus ,, cuman agak tidak nyaman di bibir;Palsu;Asli;Asli;Palsu;Asli;Asli;Asli
anggelaaaaaaaaaa;di beli yang abu dikirim yang hijau makasi udah mutusin rezeki orang karna gaa sesuai sama yang dipesan customer kalo emmang kosong chat atau batalin gampang kan;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
anitasalsabillahasan;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas;Asli;Asli;Asli;Asli;Asli;Asli;Asli
anwarrahmadi.773;Tau barang lunak bgini gak di Paking.. Paking kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk;Palsu;Asli;Asli;Asli;Asli;Asli;Asli
aputabuku;Bagus BANGAT;Palsu;Asli;Asli;Palsu;Asli;Palsu;Asli
asjasosojazaen;Kata nya krim sma serum, tpi yg dtng cuma krim ny z. Gk amanah;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
